                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4559,                 3.4447,                 1.2098,                0.59079,                0.09135,                0.07081,                0.03055,                 2.1159,                 2.1813,                 1.0439,             0.00023247,             0.00023247,             0.00023247
                      2,                 2.1365,                  1.642,                 1.0522,                0.65247,                0.20453,                0.19684,                0.09448,                 1.9893,                 1.5377,                 1.0202,             0.00046581,             0.00046581,             0.00046581
                      3,                 2.0314,                  1.451,                 1.0473,                0.56201,                0.19449,                0.19405,                0.09453,                 2.0716,                 1.3518,                 1.0383,             0.00069444,             0.00069444,             0.00069444
                      4,                 2.0217,                 1.3566,                 1.0338,                 0.5683,                0.23432,                0.19954,                0.09602,                 2.0619,                 1.2559,                 1.0262,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.9667,                 1.2902,                 1.0291,                0.53589,                0.26999,                0.23527,                0.12257,                 2.0527,                 1.2404,                 1.0173,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.9552,                 1.2568,                 1.0188,                0.65373,                0.20478,                0.22893,                 0.1219,                 1.9163,                 1.2076,                 1.0074,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.9218,                 1.1992,                 1.0008,                0.47178,                0.27653,                0.24831,                0.13035,                   1.97,                 1.1837,                 1.0097,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.9024,                 1.2069,                0.99965,                0.61409,                0.23382,                0.25101,                 0.1256,                   1.93,                 1.2283,                0.99703,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.9125,                 1.1739,                 1.0018,                 0.4922,                0.24199,                0.25102,                0.13038,                 2.0279,                 1.1874,                 1.0278,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.8934,                 1.1818,                0.99124,                0.41725,                 0.2726,                0.21836,                0.10547,                 2.1662,                  1.315,                 1.0529,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.8236,                 1.1302,                0.99132,                0.68343,                0.26706,                 0.3012,                0.16484,                 1.8481,                 1.0686,                0.99043,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.8168,                 1.1111,                 0.9916,                0.53803,                0.28642,                0.26366,                0.14067,                 1.9495,                 1.1322,                0.99884,             0.00063625,             0.00063625,             0.00063625
                     13,                   1.87,                 1.0952,                0.98345,                0.64294,                0.29159,                0.27741,                0.15299,                 1.8847,                 1.0793,                0.98769,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.8204,                 1.1306,                0.98894,                0.75371,                0.28541,                 0.3012,                0.16086,                 1.8397,                 1.0622,                0.99172,             0.00062211,             0.00062211,             0.00062211
                     15,                 1.7816,                 1.0567,                0.98572,                0.52952,                0.30697,                0.28783,                0.16253,                 1.8671,                 1.0807,                0.99216,             0.00061504,             0.00061504,             0.00061504
                     16,                 1.8071,                 1.0762,                0.98819,                0.60952,                0.31777,                0.28292,                0.15313,                 1.9245,                 1.0873,                0.99813,             0.00060797,             0.00060797,             0.00060797
                     17,                 1.7728,                 1.0273,                0.97422,                0.59922,                0.30419,                0.30625,                0.16236,                 1.8539,                 1.0717,                0.98404,              0.0006009,              0.0006009,              0.0006009
                     18,                 1.7968,                 1.0357,                0.98145,                0.64025,                0.30858,                0.30787,                0.16475,                 1.8437,                  1.061,                0.97688,             0.00059383,             0.00059383,             0.00059383
                     19,                 1.7782,                 1.0435,                0.97544,                0.68492,                0.29292,                0.29964,                0.16431,                  1.833,                 1.0358,                0.98326,             0.00058677,             0.00058677,             0.00058677
                     20,                 1.7683,                 1.0117,                 0.9748,                0.67859,                0.30436,                0.30364,                0.16924,                 1.8341,                 1.0661,                0.98067,              0.0005797,              0.0005797,              0.0005797
                     21,                 1.7447,                 1.0125,                0.98143,                0.55659,                0.31451,                0.29322,                0.16019,                 1.9036,                 1.1001,                0.99465,             0.00057263,             0.00057263,             0.00057263
                     22,                  1.732,                 1.0019,                0.96987,                0.60753,                 0.2876,                0.30976,                0.17116,                 1.8085,                 1.0536,                0.98195,             0.00056556,             0.00056556,             0.00056556
                     23,                 1.7357,                0.98944,                0.97007,                0.53453,                0.31596,                0.30964,                0.16817,                 1.7878,                 1.0039,                0.97554,             0.00055849,             0.00055849,             0.00055849
                     24,                 1.7336,                0.97694,                0.96423,                0.50637,                0.28682,                0.28345,                0.15391,                 1.8318,                 1.0318,                0.97909,             0.00055142,             0.00055142,             0.00055142
                     25,                 1.7148,                0.98868,                0.97114,                0.59002,                0.26421,                0.28185,                 0.1564,                 1.8845,                 1.0711,                 0.9862,             0.00054435,             0.00054435,             0.00054435
                     26,                 1.7135,                 1.0042,                0.96527,                0.62319,                0.28395,                0.30944,                0.17164,                 1.8276,                  1.034,                0.97742,             0.00053728,             0.00053728,             0.00053728
                     27,                 1.7439,                0.99634,                0.96211,                0.60555,                0.30232,                0.31462,                0.16122,                 1.8421,                 1.0304,                0.98569,             0.00053022,             0.00053022,             0.00053022
                     28,                  1.725,                0.96627,                0.95725,                0.60946,                 0.3373,                   0.35,                0.18424,                 1.7864,                0.99814,                0.96853,             0.00052315,             0.00052315,             0.00052315
                     29,                 1.6834,                0.95119,                0.96386,                0.61179,                0.30965,                0.32297,                0.17867,                 1.8089,                 1.0212,                0.97845,             0.00051608,             0.00051608,             0.00051608
                     30,                 1.7123,                0.95931,                0.96323,                0.67099,                0.31479,                0.32485,                0.17148,                 1.8177,                 1.0261,                0.97845,             0.00050901,             0.00050901,             0.00050901
                     31,                   1.67,                0.93999,                0.94933,                 0.5653,                0.33191,                0.31592,                0.16851,                 1.8474,                  1.024,                0.97944,             0.00050194,             0.00050194,             0.00050194
                     32,                 1.6947,                0.95427,                0.96492,                0.60132,                0.30928,                0.32634,                0.17146,                 1.7731,                0.97096,                 0.9719,             0.00049487,             0.00049487,             0.00049487
                     33,                 1.6556,                0.92357,                0.94887,                0.55297,                0.31382,                0.31211,                0.17276,                 1.7887,                0.99021,                0.97325,              0.0004878,              0.0004878,              0.0004878
                     34,                 1.6405,                0.91281,                 0.9411,                0.53895,                0.29149,                0.30509,                0.16158,                 1.8443,                 1.0048,                0.97911,             0.00048074,             0.00048074,             0.00048074
                     35,                 1.6784,                0.92249,                0.94915,                0.56579,                0.27816,                 0.2987,                0.15978,                 1.8457,                 1.0217,                0.98119,             0.00047367,             0.00047367,             0.00047367
                     36,                 1.6987,                0.94473,                0.94822,                0.56702,                0.29395,                0.31515,                0.17041,                   1.78,                0.96883,                0.97005,              0.0004666,              0.0004666,              0.0004666
                     37,                 1.7325,                0.96249,                0.95479,                0.59371,                0.31853,                0.33458,                   0.17,                  1.773,                0.97942,                0.97326,             0.00045953,             0.00045953,             0.00045953
                     38,                 1.6518,                0.91871,                0.94761,                0.52675,                0.32246,                0.30766,                0.15806,                 1.9028,                 1.0318,                0.99327,             0.00045246,             0.00045246,             0.00045246
                     39,                 1.6473,                0.91632,                0.94268,                0.57063,                0.34872,                0.34044,                0.16784,                 1.7719,                0.96159,                0.97301,             0.00044539,             0.00044539,             0.00044539
                     40,                  1.653,                0.89198,                0.94069,                0.70919,                0.33642,                0.33337,                0.17487,                  1.773,                0.96182,                0.97309,             0.00043832,             0.00043832,             0.00043832
                     41,                 1.6471,                0.90254,                0.93966,                0.55425,                 0.3407,                0.33404,                0.17949,                 1.8296,                 0.9982,                0.98264,             0.00043126,             0.00043126,             0.00043126
                     42,                  1.608,                0.87721,                0.93904,                0.53117,                0.33559,                0.32795,                 0.1838,                 1.7436,                0.97694,                 0.9695,             0.00042419,             0.00042419,             0.00042419
                     43,                 1.6039,                0.87257,                0.93758,                0.64098,                0.32186,                0.33965,                0.18194,                 1.7876,                0.95824,                0.97776,             0.00041712,             0.00041712,             0.00041712
                     44,                 1.6013,                0.86075,                0.93809,                0.44914,                0.35214,                0.33122,                0.17584,                  1.819,                0.98675,                 0.9877,             0.00041005,             0.00041005,             0.00041005
                     45,                 1.5928,                0.86744,                0.93098,                0.60343,                 0.3273,                0.34007,                0.17903,                 1.8104,                 0.9647,                0.97993,             0.00040298,             0.00040298,             0.00040298
                     46,                 1.6142,                0.85104,                0.93675,                0.64537,                0.33741,                0.35831,                0.18519,                 1.7348,                0.93469,                0.96606,             0.00039591,             0.00039591,             0.00039591
                     47,                 1.5811,                0.85678,                0.93707,                0.56783,                0.30598,                0.32165,                0.16691,                 1.8202,                0.99818,                0.98198,             0.00038884,             0.00038884,             0.00038884
                     48,                 1.5764,                0.84903,                0.92935,                0.73384,                0.30352,                0.34271,                0.18137,                 1.7833,                0.96128,                0.98028,             0.00038178,             0.00038178,             0.00038178
                     49,                 1.6347,                0.85621,                0.93144,                0.66189,                0.33975,                  0.345,                0.18645,                 1.7595,                0.94329,                0.96985,             0.00037471,             0.00037471,             0.00037471
                     50,                 1.5753,                0.85758,                0.93041,                0.63478,                0.33894,                0.36103,                0.18916,                 1.7622,                0.92102,                0.97795,             0.00036764,             0.00036764,             0.00036764
                     51,                 1.5388,                0.81951,                0.92507,                  0.571,                0.31361,                0.34256,                0.18328,                 1.7677,                0.95441,                0.97608,             0.00036057,             0.00036057,             0.00036057
                     52,                  1.582,                0.83504,                0.92808,                0.53701,                0.35142,                0.35642,                 0.1952,                 1.7415,                0.92558,                 0.9717,              0.0003535,              0.0003535,              0.0003535
                     53,                 1.5538,                0.82461,                0.92792,                0.61055,                0.31352,                0.33442,                0.17869,                 1.7838,                0.94681,                0.98512,             0.00034643,             0.00034643,             0.00034643
                     54,                 1.5469,                0.81967,                0.91887,                0.56329,                 0.3399,                0.34819,                0.18105,                 1.7722,                0.94665,                0.97242,             0.00033936,             0.00033936,             0.00033936
                     55,                 1.5511,                0.81217,                0.92194,                0.57079,                0.34831,                0.36129,                0.19281,                 1.7817,                 0.9456,                0.97893,              0.0003323,              0.0003323,              0.0003323
                     56,                  1.534,                0.80304,                0.91822,                0.59476,                0.33385,                0.35195,                0.18988,                 1.8006,                  0.949,                0.98342,             0.00032523,             0.00032523,             0.00032523
                     57,                 1.5536,                0.82609,                0.92962,                0.45923,                0.37839,                0.35187,                 0.1835,                 1.7728,                0.93596,                0.97272,             0.00031816,             0.00031816,             0.00031816
                     58,                 1.5708,                0.82911,                0.91899,                0.58097,                0.35675,                0.36427,                0.19226,                 1.7488,                0.93128,                0.97622,             0.00031109,             0.00031109,             0.00031109
                     59,                  1.547,                0.80949,                0.92214,                0.63547,                0.32992,                0.35801,                0.18377,                 1.7641,                0.94089,                0.97623,             0.00030402,             0.00030402,             0.00030402
                     60,                 1.5196,                0.79418,                0.91432,                0.57734,                0.36714,                0.36742,                0.19016,                 1.7273,                 0.9064,                0.97096,             0.00029695,             0.00029695,             0.00029695
                     61,                 1.5123,                0.79071,                0.91236,                0.56365,                0.38755,                0.35885,                  0.188,                 1.7465,                0.93446,                0.96989,             0.00028988,             0.00028988,             0.00028988
                     62,                 1.5137,                0.79467,                0.91789,                0.59736,                0.37603,                0.36721,                0.19215,                 1.7734,                0.92835,                0.98336,             0.00028282,             0.00028282,             0.00028282
                     63,                 1.5163,                0.79683,                0.92015,                 0.6247,                0.34818,                0.36602,                0.19179,                 1.7424,                0.91613,                 0.9736,             0.00027575,             0.00027575,             0.00027575
                     64,                 1.5308,                0.78753,                0.90794,                0.59513,                 0.3425,                0.36134,                0.19266,                 1.7393,                0.91122,                0.97521,             0.00026868,             0.00026868,             0.00026868
                     65,                 1.4882,                0.77483,                0.91049,                0.58186,                0.36334,                0.35903,                0.19596,                 1.7544,                0.92088,                 0.9703,             0.00026161,             0.00026161,             0.00026161
                     66,                 1.4814,                0.76993,                0.91462,                0.55167,                0.37226,                0.36314,                0.19102,                 1.7801,                0.91935,                0.97402,             0.00025454,             0.00025454,             0.00025454
                     67,                 1.4869,                0.76675,                0.91183,                0.65984,                0.36667,                0.36755,                0.19988,                 1.7136,                0.89045,                0.96818,             0.00024747,             0.00024747,             0.00024747
                     68,                 1.4862,                 0.7641,                 0.9089,                 0.5681,                0.37142,                0.36403,                0.19616,                  1.728,                0.89527,                0.96561,              0.0002404,              0.0002404,              0.0002404
                     69,                 1.4755,                0.77593,                0.91081,                0.62891,                0.37856,                0.38485,                0.19826,                 1.7381,                 0.8865,                0.97404,             0.00023334,             0.00023334,             0.00023334
                     70,                 1.5049,                0.76349,                0.90786,                0.58736,                0.36284,                0.37357,                0.19962,                 1.7171,                0.88127,                0.96879,             0.00022627,             0.00022627,             0.00022627
                     71,                 1.4966,                0.76565,                0.90742,                0.62213,                0.36726,                0.37269,                 0.1983,                   1.71,                0.88476,                0.97029,              0.0002192,              0.0002192,              0.0002192
                     72,                 1.4778,                 0.7543,                0.90542,                0.59722,                 0.3801,                 0.3807,                0.20995,                 1.7287,                0.89735,                0.97297,             0.00021213,             0.00021213,             0.00021213
                     73,                 1.4731,                0.76065,                0.90952,                0.61992,                0.35239,                0.36552,                0.19387,                 1.7658,                0.91501,                0.97365,             0.00020506,             0.00020506,             0.00020506
                     74,                 1.4555,                0.73631,                0.90638,                0.55858,                0.39126,                0.37726,                0.20061,                 1.7415,                0.90705,                0.97027,             0.00019799,             0.00019799,             0.00019799
                     75,                 1.4502,                0.73016,                0.90065,                0.59679,                0.36296,                0.37401,                0.19757,                 1.7343,                 0.9043,                0.96808,             0.00019092,             0.00019092,             0.00019092
                     76,                 1.4292,                0.73706,                0.89942,                0.56678,                 0.3731,                0.36656,                0.19423,                 1.7433,                0.91251,                 0.9724,             0.00018385,             0.00018385,             0.00018385
                     77,                  1.461,                0.74221,                0.89723,                0.55585,                0.37697,                  0.377,                0.20139,                 1.7343,                  0.904,                0.97542,             0.00017679,             0.00017679,             0.00017679
                     78,                 1.3956,                0.71269,                0.89637,                 0.5524,                0.38466,                 0.3803,                0.20363,                 1.7414,                0.89279,                0.97804,             0.00016972,             0.00016972,             0.00016972
                     79,                 1.4838,                0.74149,                0.90211,                0.53093,                0.39602,                0.39687,                0.21234,                 1.7273,                0.88703,                0.97684,             0.00016265,             0.00016265,             0.00016265
                     80,                 1.4312,                0.72285,                0.89698,                 0.5244,                0.39134,                0.38164,                0.20917,                 1.7571,                0.89697,                0.97673,             0.00015558,             0.00015558,             0.00015558
                     81,                 1.4754,                0.74558,                 0.8986,                0.57638,                0.37589,                0.38116,                0.20029,                 1.7131,                0.88021,                0.96913,             0.00014851,             0.00014851,             0.00014851
                     82,                   1.42,                0.70904,                0.89899,                0.57166,                 0.3512,                0.37321,                0.19736,                 1.7708,                0.90061,                0.98131,             0.00014144,             0.00014144,             0.00014144
                     83,                 1.4286,                0.71929,                0.89856,                0.57085,                0.36681,                0.37281,                0.20379,                 1.7651,                0.89691,                0.97661,             0.00013437,             0.00013437,             0.00013437
                     84,                 1.3967,                0.70896,                0.89201,                0.61919,                 0.3671,                 0.3825,                0.20439,                 1.7409,                0.88596,                0.97294,             0.00012731,             0.00012731,             0.00012731
                     85,                 1.3934,                0.70054,                0.89675,                0.55337,                0.37388,                0.38386,                0.19971,                 1.7495,                0.89127,                0.96997,             0.00012024,             0.00012024,             0.00012024
                     86,                 1.3946,                0.70201,                0.88901,                 0.6978,                0.35443,                0.37925,                0.20176,                  1.725,                 0.8801,                0.96948,             0.00011317,             0.00011317,             0.00011317
                     87,                 1.4039,                 0.7015,                0.89275,                0.66402,                0.35499,                0.37368,                0.20086,                 1.7491,                0.89587,                0.97576,              0.0001061,              0.0001061,              0.0001061
                     88,                 1.4156,                0.71551,                0.89542,                0.48681,                0.40695,                0.38789,                0.20732,                 1.7305,                 0.8814,                0.97617,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                 1.4195,                0.69619,                0.89289,                0.61659,                0.39807,                0.38747,                0.20937,                 1.7579,                0.88797,                 0.9791,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                 1.3719,                0.68722,                0.89135,                0.51552,                0.39264,                0.38344,                0.20171,                 1.7258,                0.87419,                0.97556,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                 1.3847,                0.69674,                0.89842,                0.55328,                0.36668,                0.37791,                0.20476,                 1.6865,                0.86546,                0.96856,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                 1.3708,                0.68342,                0.88998,                0.56133,                 0.3658,                0.37485,                0.20446,                 1.6981,                0.88733,                0.96828,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                 1.3766,                0.68204,                0.89058,                 0.5269,                0.39775,                0.37462,                0.19995,                 1.7289,                0.88293,                0.97884,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                 1.3452,                0.66501,                0.89208,                0.52387,                0.37482,                0.37029,                0.20012,                 1.7175,                0.88355,                0.97647,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                 1.3423,                0.66455,                0.89148,                0.52416,                0.37284,                0.37506,                0.20058,                 1.7099,                0.88205,                0.97548,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                  1.329,                0.66165,                0.88466,                0.72721,                0.36161,                 0.3748,                0.19889,                 1.7206,                0.88654,                0.97643,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                 1.3103,                0.65309,                0.88548,                0.66038,                0.38387,                0.38184,                0.20537,                 1.7234,                0.88469,                0.97687,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                 1.3411,                0.66164,                 0.8846,                0.55969,                0.38615,                0.38315,                0.20572,                  1.702,                0.87562,                0.97461,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                 1.3028,                0.64319,                0.88129,                0.55921,                0.38986,                0.38754,                0.20763,                 1.7041,                0.87312,                0.97557,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                 1.3111,                0.64916,                 0.8846,                0.55938,                0.39114,                0.38747,                0.20899,                   1.71,                0.87755,                0.97649,             1.4209e-05,             1.4209e-05,             1.4209e-05
